pargpnme,inctyp,derinc,derinclb,forcen,derincmul,dermthd,splitthresh,splitreldiff,splitaction
wel_569,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_655,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_232,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_279,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_42,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_567,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_174,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_376,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_394,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_265,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_127,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_428,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_535,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_457,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_97,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_607,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_716,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_238,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_100,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
